Index,V1,V2,V3,V4
840,338945,239634,88194,139962
841,340333,239517,88270,140092
842,341862,239669,88461,139838
843,343382,261134,88509,139736
844,344699,239889,88387,139790
845,346418,239971,88352,139952
846,348017,239946,88364,140033
847,349438,239997,88424,139965
848,351992,239895,88339,139875
849,352945,240049,88454,139837
850,353550,239970,88517,139711
851,354331,240018,88386,139668
852,355446,239823,88252,139774
853,356518,239761,88452,139745
854,357884,239804,88382,139743
855,359148,239748,88453,139866
856,360404,239633,88295,139928
857,361854,239823,88259,140062
858,363455,239933,88403,139894
859,364941,239772,88327,139839
860,366348,239854,88342,140087
861,367539,240116,88252,140199
862,368931,240101,88282,147328
863,370352,239879,88268,139850
864,371255,239936,88179,139905
865,372727,239975,88323,139898
866,374138,4161770,88430,139820
867,375618,239855,88284,139957
868,377366,239835,88261,139921
869,379263,240054,88312,139798
870,383473,240058,88235,139906
871,385597,239936,88415,139880
872,387587,239829,88290,139898
873,389217,239825,88218,139932
874,390952,239721,88194,139974
875,392641,239948,88138,139864
876,394270,239778,88212,139865
877,396032,239702,88097,140025
878,397872,239754,87970,139964
879,399780,239693,88016,139975
880,401411,239834,88044,140026
881,403209,239894,88233,140038
882,405322,239830,88238,139940
883,407272,239901,88238,140044
884,409144,239916,88431,140017
885,411039,239811,88358,139924
886,412623,239694,88402,140284
887,414193,239843,88342,139978
888,415884,239871,88198,139768
889,417459,239905,88049,139960
890,419236,239638,88063,140076
891,421095,239380,88102,140085
892,4162366,239595,88066,140092
893,427214,239575,88137,140085
894,429771,239496,88296,139828
895,431904,239481,88384,139899
896,433851,239657,88352,139838
897,436016,239754,88280,139694
898,437801,239742,88153,139900
899,439523,239659,88261,140222
900,441485,239709,88451,139918
901,443565,239783,88142,139651
902,445626,239793,88260,139986
903,447425,239840,88328,140082
904,449903,239875,88389,140071
905,452365,240145,88443,139993
906,454643,239828,88331,139988
907,457041,239891,88333,139859
908,459653,239836,88366,139787
909,462468,239706,88312,139818
910,464440,239747,88314,139871
911,466391,240632,88286,8356113
912,468585,239697,88144,139977
913,470613,239735,88154,139775
914,1040615,239589,88357,139750
915,476869,239644,88373,139778
916,479494,239600,88151,139918
917,481903,239417,88034,140215
918,484208,239597,88040,140235
919,486754,239910,88264,140151
920,489404,239689,88226,140149
921,491696,239616,88108,140260
922,493949,239644,88153,140304
923,495902,239831,88086,140092
924,497848,239883,88303,139845
925,499717,239871,88158,140002
926,501666,239978,88053,140113
927,503859,239854,88038,140092
928,506106,239831,88005,140066
929,508474,239791,87964,140129
930,510691,239592,88072,139979
931,513109,239878,87885,140053
932,515556,239952,88141,140193
933,517840,239830,88213,140159
934,520067,261891,88205,140067
935,522258,239907,88047,522257
936,522304,239836,87987,140200
937,527559,239791,88188,139998
938,529349,239889,88237,139907
939,531255,239619,88291,139969
940,533312,239568,88308,140008
941,535753,239666,88073,140041
942,537934,239628,87856,140025
943,540521,239690,87919,139904
944,542511,239561,87984,139778
945,544621,239809,88168,140024
946,546820,239703,88154,140133
947,548770,239808,88091,140130
948,550625,239898,88420,140121
949,552585,239789,88365,140038
950,554491,239641,88193,139936
951,556494,239418,88137,139831
952,558490,239469,87957,139765
953,560654,239806,87919,139798
954,563097,239817,88321,140079
955,565497,239672,88330,140234
956,567519,239593,88170,140047
957,569586,520221,87964,140047
958,589576,239625,88146,139939
959,575130,239779,88319,163585
960,576700,239842,88094,139924
961,578040,239739,88096,139981
962,579495,239762,88140,140199
963,580882,239589,88050,139982
964,582239,239556,88011,139851
965,583518,239626,88092,139991
966,584781,239585,88161,140086
967,586239,239689,88156,139970
968,588064,239537,88076,140025
969,589393,239690,88178,139959
970,590645,239773,87998,140009
971,592016,239879,88093,139966
972,593333,239727,88372,139738
973,594354,239860,88288,140005
974,595212,239851,87913,140095
975,596275,239715,87932,139803
976,597127,239619,87917,139847
977,598006,239430,88036,139951
978,599389,239405,88109,140191
979,601150,239647,87989,140181
980,606146,-64601,88143,140080
981,606255,239586,88116,140202
982,607776,239762,88130,140264
983,609237,239699,87991,143328
984,610877,239949,88006,140171
985,612207,239798,88142,140166
986,613286,239594,88137,140183
987,614715,239531,87990,139971
988,616002,239636,87989,140018
989,617210,239814,87798,140090
